125.809444	7.931376	08231426+0755529	16.223	0.114	15.945	0.21	15.739	0
125.810134	7.912548	08231443+0754451	15.927	0.097	15.201	0.103	15.243	0.207
125.818021	7.921378	08231632+0755169	16.702	0.17	15.84	0.186	15.452	0.233
125.82063	7.942509	08231695+0756330	15.526	0.062	15.218	0.117	14.887	0.142
125.832626	7.899455	08231983+0753580	15.784	0.088	15.196	0.107	15.037	0.171
125.836699	7.915852	08232080+0754570	15.972	0.109	15.183	0.105	15.961	0
125.837335	7.939754	08232096+0756231	16.571	0.175	15.928	0.211	15.432	0.235
125.838441	7.916149	08232122+0754581	16.377	0.139	15.819	0.175	15.711	0
125.840713	7.953956	08232177+0757142	15.01	0.045	14.388	0.05	14.191	0.082
125.844743	7.919614	08232273+0755106	15.824	0.093	15.53	0.145	14.923	0
125.845523	7.950875	08232292+0757031	12.628	0.026	12.38	0.027	12.29	0.029
125.848089	7.91898	08232354+0755083	16.245	0.121	15.452	0.142	15.651	0
125.859334	7.909116	08232624+0754328	14.087	0.033	13.801	0.035	13.717	0.053
125.859932	7.949585	08232638+0756585	14.769	0.053	14.136	0.055	13.981	0.065
125.861268	7.876119	08232670+0752340	16.107	0.121	15.893	0.193	15.379	0.218
125.866996	7.887789	08232807+0753160	16.263	0.142	15.724	0.153	16.201	0
125.872505	7.871653	08232940+0752179	15.768	0.089	15.153	0.106	15.334	0.226
125.877432	7.946539	08233058+0756475	11.153	0.024	10.571	0.024	10.465	0.023
125.878408	7.872637	08233081+0752214	15.551	0.073	14.712	0.064	14.501	0.104
125.88273	7.94014	08233185+0756245	12.311	0.024	12.107	0.026	12.035	0.027
125.882772	7.909065	08233186+0754326	16.254	0.133	15.947		15.498	0
125.892775	7.922557	08233426+0755212	12.225	0.024	11.909	0.022	11.824	0.026
127.817618	41.299686	08311622+4117588	16.045	0.084	15.182	0.085	14.968	0.106
127.818172	41.286587	08311636+4117117	13.429	0.019	12.817	0.019	12.699	0.023
127.821556	41.272388	08311717+4116205	12.153	0.019	11.692	0.019	11.598	0.022
127.840153	41.323322	08312163+4119239	17.104	0.223	16.372	0.244	15.768	0.208
127.845496	41.306095	08312291+4118219	15.757	0.066	15.281	0.085	15.359	0.15
127.858748	41.280552	08312609+4116499	16.626	0.127	16.254	0.201	15.721	0
127.881416	41.300728	08313153+4118026	16.664	0.14	16.118	0.18	15.664	0.196
129.023403	59.961506	08360561+5957414	9.854	0.022	9.624	0.027	9.536	0.018
129.026605	59.943501	08360638+5956366	16.35	0.117	16.058	0.192	15.67	0
129.035084	59.940578	08360842+5956260	16.402	0.12	15.833	0.16	15.517	0.201
129.069311	59.986019	08361663+5959096	15.89	0.08	15.722	0.168	15.454	0.172
129.08414	59.969688	08362019+5958108	16.001	0.085	15.328	0.117	15.139	0.126
129.090589	59.928894	08362174+5955440	15.243	0.051	15.003	0.089	14.936	0.122
129.091133	59.934177	08362187+5956030	11.488	0.021	10.998	0.027	10.908	0.02
129.108632	59.93375	08362607+5956015	15.013	0.039	14.394	0.058	14.093	0.057
131.444801	32.813522	08454675+3248486	13.878	0.024	13.476	0.029	13.468	0.036
131.45334	32.802731	08454880+3248098	15.749	0.074	15.066	0.093	15.27	0.173
131.462187	32.798267	08455092+3247537	16.116	0.1	15.761	0.167	15.248	0.17
131.467101	32.791424	08455210+3247291	13.726	0.022	13.406	0.03	13.361	0.036
131.467859	32.851929	08455228+3251069	13.252	0.022	12.662	0.018	12.415	0.022
131.473552	32.81451	08455365+3248522	14.676	0.032	14.352	0.05	14.348	0.076
131.475919	32.817211	08455422+3249019	16.496	0.131	15.763	0.178	15.438	0.202
131.477361	32.789211	08455456+3247211	16.109	0.097	15.735	0.18	15.156	0.155
131.491513	32.847057	08455796+3250494	16.738	0.168	15.871	0.184	15.449	0.215
131.496458	32.820755	08455914+3249147	16.566	0.156	15.752	0.172	15.543	0
131.506979	32.820347	08460167+3249132	16.552	0.139	16.256		16.198	0
131.960826	22.505499	08475059+2230197	15.586	0.074	14.897	0.086	14.895	0.107
131.962599	22.520193	08475102+2231126	14.686	0.04	14.342	0.059	14.239	0.07
131.971073	22.509945	08475305+2230358	16.163	0.106	15.282	0.107	15.331	0.168
131.979556	22.519154	08475509+2231089	14.658	0.04	14.12	0.051	13.889	0.054
131.982321	22.535088	08475575+2232063	14.32	0.031	13.732	0.052	13.602	0.049
131.990482	22.550081	08475771+2233002	15.084	0.049	14.599	0.069	14.227	0.068
131.990913	22.539179	08475781+2232210	16.199	0.118	15.455	0.155	15.4	0.198
132.00313	22.554426	08480075+2233159	15.087	0.046	14.767	0.084	14.426	0.084
132.020275	22.514202	08480486+2230511	16.037	0.087	15.676	0.159	15.184	0.16
