-1	-1	89500	89500	65170	65170	25930	25930	13570	13570
-1	-1	306.6	306.6	170.6	170.6	29	29	8.3	8.3
0.6565136	0.9913718	17.219	0.163	16.935	0.441	12.489	0	9.009	0
0.6603649	1.0014274	16.369	0.076	16.469	0	11.949	0	8.969	0
0.66623	1.01131	13.609	0.025	13.516	0.035	12.392	0.518	8.741	0
0.6668147	0.9743553	15.936	0.061	16.201	0.255	12.239	0	9.013	0
0.6692432	0.9873975	16.927	0.131	15.819	0.165	11.54	0	8.493	0
0.673262	1.0047465	16.655	0.096	16.263	0.264	12.024	0	8.785	0
0.6740351	1.0197116	13.84	0.026	13.725	0.039	12.263	0	8.538	0
0.6740683	1.025161	17.161	0.139	16.448	0	12.046	0	8.938	0
0.6760474	1.0124734	16.07	0.061	16.583	0.325	12.452	0	8.898	0
0.6775475	1.0044562	17.495	0.205	17.025	0.515	12.017	0	8.559	0
0.6787332	1.0281976	16.115	0.061	16.061	0.202	12.177	0	8.956	0
0.6792929	0.9862838	13.793	0.025	13.69	0.04	12.089	0	8.589	0
0.6805484	0.9708878	15.765	0.055	15.676	0.15	12.337	0	8.135	0
0.6821938	0.9935548	15.229	0.041	14.832	0.077	12.213	0.467	8.528	0
0.6831377	1.0139598	17.341	0.169	16.594	0.335	12.468	0	8.192	0
0.6832225	0.9663902	17.311	0.17	16.605	0	12.06	0	8.452	0
0.686709	1.0151532	17.117	0.142	16.169	0.227	11.876	0.328	8.236	0.309
0.686867	0.9922069	16.675	0.103	16.433	0.292	12.382	0	8.9	0
0.6884145	0.9695846	17.354	0.184	16.515	0	12.163	0	8.898	0
0.688653	0.9666124	17.116	0.141	16.393	0	12.101	0	8.946	0
0.6895744	0.9964629	14.001	0.027	14.168	0.048	12.57	0	8.875	0
0.6915108	0.9823163	15.655	0.05	15.566	0.13	12.214	0	8.653	0
0.6917735	1.0141512	15.859	0.1	15.466	0.177	12.143	0	8.812	0
0.6922455	0.9707853	17.537	0.214	17.074	0	12.379	0.469	8.921	0
0.6925802	1.0165889	11.009	0.03	11.084	0.033	10.914	0.213	8.15	0
0.6926464	1.0177737	13.076	0.139	13.001	0.137	11.666	0	7.852	0
0.6931597	0.9999731	16.894	0.113	16.705	0.359	12.211	0	9.023	0
0.6936415	0.9899965	16.726	0.104	16.46	0	11.994	0	8.666	0
0.6943263	1.0447995	17.443	0.194	17.135	0.54	12.325	0.525	8.863	0
0.6952119	0.9806902	16.551	0.088	16.128	0.228	11.85	0	8.501	0
0.6952354	0.9719894	17.015	0.135	16.827	0	12.522	0	8.888	0
0.6985993	1.0186399	17.191	0.154	16.427	0.303	12.251	0	8.713	0
0.698892	0.9708934	16.738	0.105	16.728	0	11.964	0	8.832	0
0.6991349	1.0462854	16.763	0.11	16.834	0.414	12.317	0	8.835	0
0.7005024	1.013531	17.526	0.218	16.883	0.463	12.41	0	8.355	0
0.7009845	1.0377993	16.838	0.119	15.935	0.185	12.451	0	8.512	0
0.701322	1.0231775	13.051	0.024	13.089	0.033	11.604	0	8.822	0
0.7013828	1.0409335	15.943	0.056	15.72	0.151	12.365	0	8.537	0
0.7018934	0.9934663	16.527	0.093	16.836	0.421	12.063	0	8.58	0
0.70328	0.97234	15.289	0.041	15.267	0.104	12.445	0	8.917	0
0.7038512	0.9798227	15.556	0.048	15.432	0.124	12.501	0	8.675	0
0.704127	1.0142407	16.582	0.1	15.821	0.171	12.294	0	8.283	0
0.7052226	1.0081766	16.279	0.073	15.728	0.158	12.389	0	8.655	0
0.705531	1.0288921	17.022	0.137	16.809	0	12.02	0	8.859	0
0.7057376	0.9871316	16.746	0.119	16.475	0	12.365	0	8.86	0
0.7081975	0.9993157	17.383	0.196	16.352	0	12.348	0	8.778	0
0.7088397	0.9659933	17.605	0.217	16.741	0	12.364	0	8.6	0.449
0.7091286	1.0042303	16.964	0.131	16.781	0	11.993	0	8.849	0
0.7092246	0.9874792	17.404	0.199	16.519	0.332	11.585	0	8.653	0.512
0.7094352	1.0187409	17.407	0.182	16.385	0	12.466	0	8.915	0
0.7108722	1.0237531	16.073	0.066	16.497	0.321	12.397	0	8.744	0
0.7111582	0.9730182	15.637	0.052	15.752	0.184	12.221	0	8.627	0
0.7111626	1.0472251	17.214	0.15	15.802	0.161	11.789	0	8.802	0
0.7111725	1.0322118	17.461	0.208	17.044	0.512	12.391	0	8.807	0
0.7114646	1.0409645	16.892	0.12	16.349	0.287	12.111	0	8.575	0
0.7122321	1.0354949	15.871	0.055	16.028	0.208	12.395	0	8.456	0
0.7129112	0.9669465	16.624	0.097	16.004	0.209	12.2	0	8.648	0
0.7137789	1.0391829	17.146	0.148	17.081	0.512	12.192	0	8.77	0.524
0.7139539	1.0169126	17.529	0.206	16.561	0	12.332	0	8.759	0
0.7144156	0.9962037	16.99	0.134	17.17	0.542	12.422	0.52	8.749	0
0.715286	1.0372295	16.932	0.123	16.802	0	12.188	0	8.457	0.375
0.7166086	1.0057554	17.038	0.136	16.708	0.391	12.247	0.434	8.754	0
0.7192311	0.9905803	16.656	0.098	16.269	0.244	11.994	0	8.587	0
0.7204477	1.0493585	17.096	0.14	16.06	0.211	12.051	0	8.886	0
0.7205627	0.9762919	17.372	0.189	16.401	0	12.356	0	8.802	0
0.7213175	0.9983729	17.062	0.135	17.105	0.54	12.075	0	8.387	0
0.7221773	1.027559	13.366	0.024	13.401	0.034	11.69	0	9.035	0
0.72351	0.9671203	16.843	0.122	16.946	0.465	11.999	0	8.875	0
0.7244878	1.036326	17.068	0.136	16.001	0.193	12.032	0	8.433	0
