-1	-1	-1	851900	851900	622000	622000	479900	479900	392700	392700	332400	332400
-1	-1	-1	3676	3676	3640	3640	3645	3645	3641	3641	3631	3631
0.655331	0.995367	588015510343385868	24.804	1.497	26.151	0.473	25.262	0.705	24.125	0.896	20.603	0.232
0.656059	0.991469	588015510343385200	21.776	0.232	20.506	0.028	19.708	0.021	19.435	0.026	19.17	0.067
0.657337	1.011414	588015510343385129	24.577	3.982	23.532	0.929	21.985	0.349	20.906	0.222	21.116	1
0.659798	1.013445	588015510343385126	20.489	0.658	20.032	0.153	19.98	0.206	19.386	0.21	19.017	0.563
0.660007	1.016385	588015510343385128	22.793	0.997	22.868	0.371	21.894	0.224	20.947	0.166	21.021	0.656
0.660491	1.001499	588015510343385720	22.941	0.709	23.1	0.251	21.773	0.118	21.253	0.13	20.215	0.187
0.661091	1.018277	588015510343385124	20.558	0.162	20.877	0.071	20.466	0.07	20.159	0.094	20.244	0.365
0.662467	1.009993	588015510343385215	26.507	1.488	24.333	1.863	23.808	1.781	21.263	0.305	20.637	0.635
0.663224	1.004411	588015510343385893	23.251	1.51	22.773	0.351	21.692	0.196	21.53	0.295	23.59	1.423
0.664507	0.991172	588015510343385305	21.752	0.225	24.561	0.626	24.093	0.623	24.28	0.898	21.595	0.512
0.666238	1.011284	588015510343385213	19.44	0.079	17.415	0.007	16.484	0.005	16.064	0.005	15.718	0.01
0.666273	1.007222	588015510343385502	25.128	1.39	21.57	0.06	20.503	0.036	20.138	0.043	19.938	0.131
0.666878	0.974316	588015510343385504	23.732	1.513	22.073	0.13	20.213	0.037	19.692	0.039	19.235	0.096
0.668369	0.977962	588015510343385728	22.236	0.532	22.939	0.335	21.591	0.144	21.575	0.25	21.218	0.661
0.668634	0.973074	588015510343385822	23.406	1.053	26.494	0.441	22.543	0.238	21.704	0.199	21.768	0.719
0.669537	0.993375	588015510343385507	25.93	0.946	22.236	0.123	21.34	0.079	21.111	0.11	21.059	0.38
0.669625	1.012754	588015510343385214	22.554	0.576	21.717	0.087	21.09	0.073	20.821	0.099	21.505	0.635
0.669906	0.981315	588015510343385510	21.295	0.452	20.227	0.062	19.562	0.048	19.372	0.077	18.982	0.185
0.671683	0.987179	588015510343385514	23.367	1.096	22.218	0.137	22.668	0.287	23.891	1.108	23.809	0.78
0.674033	1.019751	588015510343385218	21.073	0.125	18.602	0.008	17.051	0.005	16.338	0.005	15.932	0.009
0.674276	0.995043	588015510343385733	24.11	1.466	23.556	0.362	22.14	0.153	22.277	0.297	22.304	0.855
0.674294	1.025101	588015510343385734	26.211	0.709	23.854	0.448	22.27	0.173	21.196	0.117	20.927	0.332
0.676167	1.012517	588015510343385220	24.49	1.488	20.754	0.033	19.324	0.015	18.587	0.013	18.218	0.033
0.678742	1.028088	588015510343385527	23.268	1.09	22.353	0.17	20.861	0.066	20.28	0.068	20.306	0.25
0.679228	0.986286	588015510343385226	21.899	0.249	19.461	0.014	17.952	0.007	16.811	0.005	16.19	0.008
0.680346	0.994278	588015510343385538	26.226	1.066	22.288	0.184	20.754	0.07	20.001	0.062	19.586	0.157
0.68036	0.970834	588015510343385530	23.412	1.179	21.941	0.111	20.153	0.034	19.557	0.034	19.193	0.089
0.680817	0.975864	588015510343385531	22.815	0.719	22.627	0.199	21.701	0.126	21.066	0.124	21.189	0.5
0.681271	1.024501	588015510343385532	21.949	0.359	22.464	0.188	21.842	0.155	21.283	0.166	20.375	0.27
0.682043	0.991039	588015510343385875	25.923	0.874	24.965	0.749	24.684	0.806	23.812	0.862	20.385	0.202
0.682343	0.993523	588015510343385537	22.106	0.541	21.847	0.143	19.992	0.04	19.424	0.041	19.084	0.111
0.682443	0.969705	588015510343385539	23.365	0.946	22.856	0.207	25.682	0.632	23.515	0.782	22.973	0.98
0.682445	0.966509	588015510343385738	23.782	1.151	23.338	0.28	21.836	0.106	21.242	0.109	20.915	0.302
0.684183	1.01745	588015510343385741	22.435	0.707	22.824	0.329	21.688	0.169	21.481	0.245	21.274	0.718
0.686812	0.992419	588015510343385544	22.979	0.877	22.158	0.139	20.699	0.057	20.123	0.058	19.841	0.167
0.687268	0.972376	588015510343385547	22.511	0.677	21.967	0.137	20.917	0.078	20.489	0.091	20.498	0.337
0.68729	1.016496	588015510343385143	22.318	0.579	22.841	0.295	21.857	0.179	21.672	0.265	20.758	0.434
0.687995	0.999331	588015510343385549	21.975	0.268	21.162	0.042	20.729	0.041	20.587	0.061	20.47	0.203
0.688146	1.031816	588015510343385550	21.969	0.434	21.825	0.133	20.885	0.087	20.682	0.12	20.591	0.403
0.688434	0.969624	588015510343385551	21.75	0.333	22.034	0.141	21.634	0.141	21.085	0.149	21.284	0.641
0.688595	0.966351	588015510343385230	21.235	0.144	19.606	0.015	18.855	0.011	18.658	0.014	18.455	0.037
0.689544	0.996472	588015510343385232	19.371	0.035	17.152	0.005	16.17	0.004	15.87	0.004	15.71	0.007
0.691513	0.982314	588015510343385553	22.193	0.534	21.608	0.106	19.989	0.037	19.275	0.034	18.848	0.086
0.691619	1.011466	588015510343385904	20.744	0.603	21.372	0.386	20.482	0.243	19.4	0.16	19.445	0.62
0.692284	1.016386	588015510343385142	24.599	1.661	25.103	5.565	16.543	0.015	16.594	0.018	22.823	3.639
0.692547	1.016457	588015510343385140	16.471	0.008	14.57	0.004	14.711	0.012	15.77	0.015	13.239	0.004
